"province","affiliation","amphor","n"
"กระบี่","สพป.กระบี่","คลองท่อม",39
"กระบี่","สพป.กระบี่","ปลายพระยา",24
"กระบี่","สพป.กระบี่","ลำทับ",17
"กระบี่","สพป.กระบี่","อ่าวลึก",29
"กระบี่","สพป.กระบี่","เกาะลันตา",28
"กระบี่","สพป.กระบี่","เขาพนม",27
"กระบี่","สพป.กระบี่","เมืองกระบี่",44
"กระบี่","สพป.กระบี่","เหนือคลอง",42
"กระบี่","สพม.ตรังกระบี่","คลองท่อม",6
"กระบี่","สพม.ตรังกระบี่","ปลายพระยา",4
"กระบี่","สพม.ตรังกระบี่","ลำทับ",2
"กระบี่","สพม.ตรังกระบี่","อ่าวลึก",6
"กระบี่","สพม.ตรังกระบี่","เกาะลันตา",4
"กระบี่","สพม.ตรังกระบี่","เขาพนม",6
"กระบี่","สพม.ตรังกระบี่","เมืองกระบี่",6
"กระบี่","สพม.ตรังกระบี่","เหนือคลอง",2
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตคลองเตย",2
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตจอมทอง",2
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตดุสิต",3
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตตลิ่งชัน",1
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตธนบุรี",1
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตบางกอกน้อย",1
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตบางกอกใหญ่",4
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตบางซื่อ",1
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตบางแค",1
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตป้อมปราบศัตรูพ่าย",2
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตพระนคร",5
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตภาษีเจริญ",1
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตยานนาวา",2
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตราชเทวี",1
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตวัฒนา",1
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตสวนหลวง",1
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตสัมพันธวงศ์",1
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตสาทร",2
"กรุงเทพมหานคร","สพป.กรุงเทพมหานคร","เขตห้วยขวาง",4
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตคลองสามวา",2
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตคลองเตย",2
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตจตุจักร",4
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตจอมทอง",4
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตดอนเมือง",4
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตดินแดง",6
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตดุสิต",8
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตตลิ่งชัน",6
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตทวีวัฒนา",2
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตทุ่งครุ",6
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตธนบุรี",6
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตบางกอกน้อย",18
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตบางกอกใหญ่",6
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตบางกะปิ",6
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตบางขุนเทียน",10
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตบางซื่อ",6
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตบางบอน",4
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตบางพลัด",3
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตบางรัก",4
"กรุงเทพมหานคร","สพม.กรุงเทพมหานครเขต 1","เขตบางเขน",2
